# data/ro30ra10us100-200-400-600-800-1000-brute.csv
# Users,Ramp,Machine,Duration,Total requests,Success requests,Success percent,Success Variance (Valor menos media total),Success Squared Variance,Duration Variance (Valor menos media total),Duration Squared Variance
100,10,vm,121.0,15896.0,15831.0,99.59109209864117,-0.11436118126712813,0.013078479780812937,-0.4000000000000057,0.16000000000000456
100,10,vm,123.0,16530.0,16474.0,99.66122202056866,-0.04423125933963945,0.001956404302770442,1.5999999999999943,2.559999999999982
100,10,vm,117.0,17919.0,17886.0,99.8158379373849,0.11038465747660098,0.01218477260622652,-4.400000000000006,19.36000000000005
100,10,vm,118.0,17499.0,17443.0,99.67998171324075,-0.025471566667548018,6.488007084993432E-4,-3.4000000000000057,11.560000000000038
100,10,vm,118.0,18036.0,18027.0,99.9500998003992,0.24464652049090319,0.05985191998830591,-3.4000000000000057,11.560000000000038
100,10,vm,118.0,17479.0,17436.0,99.75399050288918,0.04853722298088314,0.002355862014695971,-3.4000000000000057,11.560000000000038
100,10,vm,117.0,17784.0,17729.0,99.69073324336482,-0.014720036543479864,2.1667947584138263E-4,-4.400000000000006,19.36000000000005
100,10,vm,121.0,17150.0,17075.0,99.56268221574344,-0.14277106416486163,0.020383576762767038,-0.4000000000000057,0.16000000000000456
100,10,vm,124.0,16096.0,15961.0,99.16128230616302,-0.5441709737452811,0.2961220486668874,2.5999999999999943,6.7599999999999705
100,10,vm,125.0,17360.0,17315.0,99.74078341013825,0.03533013022995135,0.0012482181020653223,3.5999999999999943,12.959999999999958
100,10,vm,118.0,17384.0,17342.0,99.7583985273815,0.05294524747320395,0.002803199229998809,-3.4000000000000057,11.560000000000038
100,10,vm,101.0,18014.0,18010.0,99.97779504829577,0.27234176838747715,0.07417003880841824,-20.400000000000006,416.16000000000025
100,10,vm,124.0,16524.0,16459.0,99.60663277656742,-0.09882050334087467,0.009765491880543821,2.5999999999999943,6.7599999999999705
100,10,vm,119.0,17905.0,17900.0,99.97207483943032,0.26662155952202227,0.07108705600195526,-2.4000000000000057,5.760000000000027
100,10,vm,126.0,17711.0,17706.0,99.97176895714527,0.2663156772369746,0.07092403994218842,4.599999999999994,21.159999999999947
100,10,vm,107.0,18020.0,18016.0,99.97780244173141,0.2723491618231151,0.07417406594575332,-14.400000000000006,207.36000000000016
100,10,vm,116.0,18024.0,18022.0,99.98890368397691,0.283450404068617,0.08034413156666224,-5.400000000000006,29.16000000000006
100,10,vm,128.0,16409.0,16290.0,99.27478822597355,-0.43066505393474586,0.18547238868061755,6.599999999999994,43.559999999999924
100,10,vm,118.0,17812.0,17807.0,99.97192903660454,0.2664757566962379,0.07100932890683258,-3.4000000000000057,11.560000000000038
100,10,vm,130.0,15991.0,15919.0,99.54974673253705,-0.15570654737125267,0.02424452889427615,8.599999999999994,73.95999999999991
100,10,vm,127.0,17396.0,17376.0,99.88503104161876,0.17957776171046191,0.03224817250093944,5.599999999999994,31.359999999999935
100,10,vm,137.0,15773.0,15708.0,99.58790337919228,-0.11754990071601412,0.013817979158344778,15.599999999999994,243.35999999999981
100,10,vm,118.0,17919.0,17916.0,99.98325799430772,0.2778047143994229,0.07717545934254492,-3.4000000000000057,11.560000000000038
100,10,vm,112.0,18032.0,18028.0,99.97781721384206,0.2723639339337609,0.07418211250787407,-9.400000000000006,88.36000000000011
100,10,vm,147.0,16357.0,16056.0,98.15980925597603,-1.5456440239322689,2.389015448717536,25.599999999999994,655.3599999999997
100,10,vm,124.0,15678.0,15613.0,99.58540630182421,-0.12004697808409048,0.0144112769471221,2.5999999999999943,6.7599999999999705
100,10,vm,124.0,17370.0,17353.0,99.90213010938399,0.19667682947569176,0.03868177525261034,2.5999999999999943,6.7599999999999705
100,10,vm,125.0,18018.0,17983.0,99.80574980574981,0.1002965258415145,0.010059393095877585,3.5999999999999943,12.959999999999958
100,10,vm,126.0,17691.0,17680.0,99.9378214911537,0.23236821124540086,0.05399498559738724,4.599999999999994,21.159999999999947
100,10,vm,113.0,16621.0,16568.0,99.6811262860237,-0.0243269938845998,5.918026314613562E-4,-8.400000000000006,70.5600000000001
600,10,container,223.0,37387.0,31945.0,85.44413833685506,0.2513576665625976,0.063180676539794,5.466666666666669,29.884444444444465
600,10,container,219.0,32624.0,28086.0,86.08999509563512,0.8972144253426535,0.804993725042948,1.4666666666666686,2.1511111111111165
600,10,container,221.0,37449.0,32022.0,85.50829127613554,0.3155106058430732,0.09954694239946311,3.4666666666666686,12.017777777777791
600,10,container,219.0,35788.0,30413.0,84.98099921761484,-0.21178145267762716,0.04485138369824603,1.4666666666666686,2.1511111111111165
600,10,container,216.0,35012.0,29592.0,84.5195932823032,-0.6731873879892589,0.453181259347801,-1.5333333333333314,2.351111111111105
600,10,container,218.0,36212.0,30819.0,85.10714680216503,-0.0856338681274309,0.007333159370466226,0.46666666666666856,0.21777777777777954
600,10,container,222.0,36756.0,31190.0,84.85689411252585,-0.3358865577666137,0.11281977968830471,4.466666666666669,19.95111111111113
600,10,container,215.0,34998.0,29622.0,84.63912223555631,-0.5536584347361497,0.3065376623544834,-2.5333333333333314,6.4177777777777685
600,10,container,222.0,36200.0,30690.0,84.77900552486187,-0.41377514543059135,0.17120987097610701,4.466666666666669,19.95111111111113
600,10,container,223.0,38132.0,32521.0,85.28532466170145,0.09254399140898784,0.008564390345906815,5.466666666666669,29.884444444444465
600,10,container,227.0,40218.0,34681.0,86.23253269680242,1.0397520265099587,1.0810842766315658,9.466666666666669,89.61777777777782
600,10,container,232.0,38939.0,33435.0,85.86507100850048,0.6722903382080148,0.45197429884784684,14.466666666666669,209.2844444444445
600,10,container,235.0,40877.0,35223.0,86.16826088020159,0.9754802099091222,0.9515616399243452,17.46666666666667,305.0844444444445
600,10,container,202.0,32478.0,27529.0,84.76199273354271,-0.430787936749752,0.18557824644910834,-15.533333333333331,241.28444444444438
600,10,container,219.0,36120.0,30627.0,84.79235880398672,-0.4004218663057486,0.1603376710157788,1.4666666666666686,2.1511111111111165
600,10,container,219.0,36711.0,31389.0,85.50298275721174,0.31020208691927564,0.09622533472907384,1.4666666666666686,2.1511111111111165
600,10,container,215.0,35891.0,30508.0,85.00181103897913,-0.19096963131333666,0.036469400083951733,-2.5333333333333314,6.4177777777777685
600,10,container,221.0,39283.0,33815.0,86.08049283405035,0.8877121637578824,0.7880328856837014,3.4666666666666686,12.017777777777791
600,10,container,211.0,33073.0,28213.0,85.30523387657605,0.11245320628358968,0.012645723603459573,-6.533333333333331,42.684444444444416
600,10,container,229.0,37780.0,32267.0,85.40762308099524,0.2148424107027722,0.04615726143657865,11.466666666666669,131.48444444444448
600,10,container,198.0,33108.0,27968.0,84.47505134710644,-0.7177293231860205,0.515135381361063,-19.53333333333333,381.551111111111
600,10,container,221.0,35367.0,30415.0,85.99824695337462,0.8054662830821542,0.648775933182181,3.4666666666666686,12.017777777777791
600,10,container,216.0,36850.0,31353.0,85.08276797829036,-0.11001269200210118,0.012102792401549175,-1.5333333333333314,2.351111111111105
600,10,container,219.0,37603.0,32141.0,85.47456319974471,0.2817825294522436,0.07940139390450451,1.4666666666666686,2.1511111111111165
600,10,container,205.0,33174.0,28050.0,84.55416892747333,-0.6386117428191369,0.40782495806649544,-12.533333333333331,157.0844444444444
600,10,container,215.0,35198.0,29707.0,84.39968180010227,-0.7930988701901924,0.6290058178969598,-2.5333333333333314,6.4177777777777685
600,10,container,211.0,35520.0,30165.0,84.92398648648648,-0.26879418380597997,0.07225031324792294,-6.533333333333331,42.684444444444416
600,10,container,217.0,37479.0,31907.0,85.13300781771125,-0.05977285258121867,0.0035727939056960996,-0.5333333333333314,0.28444444444444245
600,10,container,201.0,32754.0,27697.0,84.56066434633938,-0.6321163239530847,0.39957104700796114,-16.53333333333333,273.35111111111104
600,10,container,215.0,35504.0,30126.0,84.85241099594411,-0.3403696743483522,0.11585151521600331,-2.5333333333333314,6.4177777777777685
600,10,vm,865.0,39472.0,34040.0,86.23834616943657,-0.41022046657298006,0.16828083119535345,143.76666666666665,20668.85444444444
600,10,vm,835.0,40406.0,34825.0,86.18769489679751,-0.4608717392120383,0.21240276000432903,113.76666666666665,12942.854444444441
