# data/ro30ra60us100-200-400-600-800-1000-brute.csv
# Users,Ramp,Machine,Duration,Total requests,Success requests,Success percent,Success Variance (Valor menos media total),Success Squared Variance,Duration Variance (Valor menos media total),Duration Squared Variance
100,60,container,133.0,16944.0,16825.0,99.297686496695,-0.2673082101472204,0.07145367921211054,11.233333333333334,126.1877777777778
100,60,container,111.0,17704.0,17677.0,99.84749209218256,0.2824973853403492,0.07980477272413374,-10.766666666666666,115.92111111111109
100,60,container,120.0,17268.0,17148.0,99.30507296733843,-0.25992173950378117,0.06755931066667148,-1.7666666666666657,3.121111111111108
100,60,container,108.0,17577.0,17507.0,99.60175228992433,0.03675758308212096,0.001351119914039025,-13.766666666666666,189.52111111111108
100,60,container,122.0,17467.0,17392.0,99.57061888131906,0.00562417447684993,3.1631338546050185E-5,0.23333333333333428,0.054444444444444885
100,60,container,120.0,18030.0,18026.0,99.97781475318912,0.4128200463469085,0.17042039066586367,-1.7666666666666657,3.121111111111108
100,60,container,124.0,17477.0,17381.0,99.45070664301653,-0.11428806382568268,0.01306176153302332,2.2333333333333343,4.987777777777782
100,60,container,135.0,17469.0,17411.0,99.66798328467571,0.10298857783350002,0.01060664716416689,13.233333333333334,175.12111111111113
100,60,container,116.0,18016.0,18007.0,99.95004440497335,0.38504969813114087,0.14826327003088272,-5.766666666666666,33.25444444444443
100,60,container,122.0,16945.0,16863.0,99.51608143995279,-0.04891326688942854,0.0023925076777964664,0.23333333333333428,0.054444444444444885
100,60,container,112.0,17478.0,17435.0,99.75397642750887,0.18898172066666064,0.03571409074613175,-9.766666666666666,95.38777777777776
100,60,container,109.0,17386.0,17339.0,99.72966754860232,0.1646728417601082,0.02711714481334964,-12.766666666666666,162.98777777777775
100,60,container,140.0,16605.0,16437.0,98.98825654923216,-0.5767381576100519,0.332626902443437,18.233333333333334,332.4544444444445
100,60,container,119.0,17603.0,17575.0,99.84093620405612,0.2759414972139069,0.0761437098846526,-2.7666666666666657,7.654444444444439
100,60,container,128.0,17362.0,17210.0,99.124524824329,-0.44046988251321295,0.19401371740120363,6.233333333333334,38.854444444444454
100,60,container,113.0,17433.0,17387.0,99.73613262203867,0.1711379151964536,0.029288186017788546,-8.766666666666666,76.85444444444443
100,60,container,121.0,18030.0,18018.0,99.93344425956738,0.368449552725167,0.1357550729033756,-0.7666666666666657,0.5877777777777763
100,60,container,113.0,17079.0,16962.0,99.31494818197787,-0.2500465248643451,0.06252326459673554,-8.766666666666666,76.85444444444443
100,60,container,130.0,16621.0,16469.0,99.08549425425666,-0.4795004525855546,0.22992068402975172,8.233333333333334,67.78777777777779
